Jobtitle-id,Job-title,Skill
33,Frontend Developer,"Javascript, React, Angular, CSS, Sass, ES6, CoffeeScript, HAML, Browserify, BEM, TDD/testing, Jest, Jasmine, Mocha"
35,Head of Business Intelligence (m/f),"Python, SQL, ETL framework, PostgreSQL, Google Analytics, Snowplow, Looker, Tableau, Sisense"
37,Senior Android Developer (m/f),"REST API, Java, Kotlin, Agile, Unix"
38,Senior iOS Mobile Developer (m/f),"RESTful API, OOP, Objective C, Swift, HTML5, CSS3, JavaScript"
39,Sr. Team Lead Full-stack Engineer (Angular2 + RoR),"Angular2, Ruby on Rails, agile, Jira, nosql, MongoDB, Redis, HTML5, CSS3, JS, Webpack/Require.js, Jasmine, Protractor, Grunt.js , Gulp.js , Bower, Npm, Yarn"
40,DevOps Automation Engineer (m/f),"Redis, PostgreSQL, Python, Ruby, Docker, Orchestration, CI server, AWS, GCE, C#, Java, Golang"
41,Ruby on Rails Developer (m/f),"Ruby on Rails, MySQL, PostgreSQL, NoSQL, Redis, Riak, Cassandra, Elastic Search, AWS, Agile, React, Vue, Angular "
42,Senior Field Engineer (Sales),"Python, Ruby, Java, Objective C, JavaScript, C++, Docker, Kubernetes, AWS, Azure"
44,Sr. Full-stack Engineer (Angular2 + RoR),"Ruby on Rails, NoSQL, AWS, Angular2, Angular 4, HTML5, CSS3, Webpack, Require.js, JavaScript, AngularJS, Jasmine, Protractor, Grunt.js, Gulp.js, Bower, Npm, Yarn, Post.css"
45,Frontend Software Engineer (m/f),"JavaScript, ReactJS, Node.js, Flux-architecture, Promises/Q, Underscore, HTML, CSS, Gulp, Grunt, ES6"
46,Backend Software Engineer – Scala (m/f),"Scala, JVM, AWS"
47,DevOps Engineer (m/f),"Laravel, Symfony, MySQL, PostgreSQL, MongoDB, PHP, AWS, Azure, Vue, AngularJS Angular, React, Git, Rest"
49,Senior Data Scientist (NLP) (m/f),"Python, Machine Learning, scikit-learn"
50,Head of Business Intelligence (m/f),"Tableau, QuickSight, GA, GTM, Snowplow, Python, R, Pandas, Scikit-learn, SciPy, Amazon Redshift, AWS stack"
51,Frontend developer,"android, agile"
52,Senior Technical Consultant/ Full Stack Developer/ Frontend Developer / Requirements Engineer,
53,VP Technology,"Ruby, Rails, Erlang, C, iOS, Objective-C, Swift, Android, Java, Kotlin, Javascript, Node, React, Postgres, Redis, Elasticsearch, RabbitMQ, Elm, Kafka and Docker, AWS, Github, Jenkins, Graylog, Kibana, Consu"
54,Product Owner Frontend (m/f),
55,Big Data Developer – Berlin,"Python, Apache Spark, SQL, NoSQL, Machine Learning, PostgreSQL, MongoDB, Redis, Hadoop, Apache Spark"
56,Data Engineer Student Position,"Scala, Java, Ruby, Python, Apache Spark, Cassandra, KAFKA, Airflow, Docker, Ansible, Jenkins"
57,Perl Developer (m/f),"Perl, Mysql, OTRS, Linux "
59,(Senior) Frontend Engineer (m/f),"JavaScript, React, Angular, jQuery, HTML5, CSS3, Gulp, Webpack, Grunt"
60,(Senior) Software Engineer PHP (m/f),"PHP7, Symfony3, MySQL, MongoDB, RabbitMQ, Elasticsearch, Redis, Docker"
61,Fullstack Node.js Developer (m/f) Whitelabel Solutions/ Fitness programs,"JavaScript, SQL, restful APIs, Node.js, grunt, gulp"
62,Ruby on Rails Developer (m/f),"Ruby-on-Rails, git, Python, AWS"
63,Head of Software Engineering (f/m),"JavaScript, MongoDB, React, Meteor, Express.js, Python, Go"
64,Backend Developer (m/f),"Git, Maven, Spring, Solr"
65,Java Backend Engineer – Berlin (m/f),"Java, REST APIs, UNIX/Linux"
66,Android Developer – Berlin (m/w),"HTTP, REST, JSON, Android, OOP, MVC, MVP, MVVM"
67,Web Tracking Specialist – Berlin (m/w),"Google Analytics, Google Tag Manager, localytics, HTML, Javascript, Google Apps script, VWO, Optimizely, Angular, React"
68,Technical QA Engineer,"JavaScript, Node.js, Cucumber, Gherkin, Selenium, Nightwatch, Mocha, Chai, JUnit, SQL, Linux, AWS"
69,Scrum Master,"agile, XP, Kanban "
70,Senior Frontend / Elm Developer,"HTML5, CSS, REST, Websocket, UI/UX, Elm"
71,React Native Developer (m/f),"GIS, Java, Android, Swift"
72,"Senior Backend Engineer Groovy / Grails / Java (m/f) – Berlin, DE","ElasticSearch, Mysql, Grails, Spring, Spring-Boot, Hibernate, Apache Tomcat, AWS, RestAPI, agile, Scrum, Kanban"
73,IT Project Manager (m/f),"ERP-systems, SAP, SQL"
74,Product Owner,"Scrum, Kanban, Waterfall, UML modeling"
75,Senior Data Analyst – E-Commerce,"Excel, SQL, Pentaho, Talend, A/B testing"
76,Senior Data Scientist / Data Science Expert – Deep Learning Center of Excellence Job,"python, Linux/Unix, scikit-learn, TensorFlow"
77,"Senior Full-Stack Developer (Java, React+Redux)","Javascript, Angular, Redux, React, UX/UI, RxJava, NoSQL, Couchbase"
78,"Senior Full-Stack Engineer, Payments","Java, Node.js, JavaScript, React.js, ES6, SQL, NoSQL"
79,Junior IT Specialist (m/f),Server administration
80,"Senior Frontend Developer (React.js/Redux, ES6)","Javascript, Angular, React.js, Gulp, SASS/LESS, Browserify"
82,Magento/PHP Backend Developer (f/m),"PHP5/OOP, MySQL, REST/SOAP, Elasticsearch, Magento"
83,Salesforce Developer,"PHP, Javascript, Magento"
84,Senior Java Backend Developer (m/f) – FinTech Application,"Java8, Spring (DI, Security, Scheduling, Tx, Spring REST, Spring WS), Spring Cloud Netflix (Eureka, Ribbon), Messaging JMS / AMQP, Maven, PostgreSQL, Dynamo DB, Redis, Hybrid Cloud Technologies"
85,Senior JavaScript Frontend Developer (m/f) – FinTech Application,"Angular, Backbone, react, Redux, Webpack, Universal rendering, Marionette, SCSS, Node"
86,DevOps Engineer (m/f),"Linux/UNIX, nginx, php-fpm, memcached, redis, MySQL, JVM, node.js, Ansible, CloudFormation, EC2, Route 53, Elasticache, RDS, Redshift, Elasticsearch, AWS, Bash, Python, Ruby, PHP"
87,QA Engineer (m/f),"Jira, Confluence, GIT, SQL, NoSQL, "
88,Junior Frontend / Elm Developer,"HTML5, CSS, REST, Websocket, UI/UX"
89,Frontend Developer,"CSS, HTML, Javascript, Node.js"
90,Tech Lead (f/m),"Spring Boot, Node.js, TypeScript, Python, NLP, REST APIs, AWS SQS, AWS Kinesis, AWS RDS, NoSQL, AWS DynamoDB, AWS ElasticCache, AWS Redshift"
91,(Senior) QA Engineer (m/f) for a new SME FinTech Venture,"HTTP Protocol, Selenium, SQL, Ready API"
92,Web Developer,"ReactJS, HTTP Protocol"
93,Head of IoT-Technology and Development (m/f),"IoT, Cloud Technology"
94,Backend Entwickler (m/w),"Blockchain, Bots, BigData, IoT, SQL, PHP, JS, Python, Symfony, Silex, NodeJS, AWS-Cloud, Hybrid Cloud, Private Cloud, On-Premise, Unix/Linux, Spryker "
95,Frontend Entwickler (m/w),"HTML5, CSS3, JavaScript, jQuery, AngularJS, Bootstrap, React, Webpack, Redux, Twig, Scss, Foundation, Photoshop"
96,"Senior System Engineer (Linux), Operations (m/f)","Bash, Python, Ruby, TCP/IP, HTTP, Puppet, Chef"
97,Engineering Manager (m/f),"Kanban, Scrum"
98,System Administrator (m/f),"VLAN, VPN, IT administration"
99,Technical Product Manager – Big Data Infrastructure (m/f),"Yarn, HDFS, Hive, Flink, Kafka, Jupyter, Hue"
100,Frontend Developer,"CSS, Javascript, Go, Python, Ruby, PHP, SASS/LESS, Git "
101,Backend Developer,"NLP, Machine learning"
102,Infrastructure Engineer – AWS,"AWS, REST APIs, Go, node.js, Ruby on Rails"
103,Data Engineer (m/f),"mySQL, Redshift, AWS, Python, Snowplow, Airflow"
104,Data Analyst (m/f),"Tableau, Metabase, QuickSight, SQL, Excel, GA, GTM, Snowplow, Python, R, Pandas, Scikit-learn, SciPy, Amazon Redshift, AWS stack"
105,System Administrator (m/f),"Edge, Cisco, Ubiquity, VLAN, VPN, Synology NAS, iptables, cron, ssh, bash, dns, ssl, nginx, Navision, Remote Desktop, MSSQL, Active Directory, Ansible, AWS, Route53, EC2, S3, RDS"
106,Senior PHP Developer (m/f),"PHP, HTML5, Mysql, Postgresql, Laravel, Yii, FuelPHP, Symfony 2, Zend 2, git, svn, MongoDB, CouchDB, Redis, memcache, TDD (PHPUnit), BDD (Behat, Codeception), AngularJS, Node, SASS / LESS, Composer, Packagist"
107,Technical Support Engineer,"Cloudera, Hortonworks, MapR, Amazon EMR, Hadoop, Google Cloud Platform, BigQuery, Data Store"
108,QA Automation Engineer,"JavaScript, Sahi, Selenium, Jenkins, Jira, TestRail, AWS, Azure, GCP, Hadoop "
109,Backend Software Engineer,"Java, Python, Docker, Kubernetes, AWS, GCP, Jenkins, CI, Rest, SQL, NoSQL, Hadoop, Hive, Spark"
110,Data Scientist,"AWS Redshift, MySQL, R, Python, Docker"
111,Senior IOS Developer,"Objective-C, UI/UX, XCode, UI Kit, Cocoa Touch, web services, REST APIs, Media Services, Instruments, JSON, Sqlite, SOAP, REST, JSON, XML"
112,Backend Ruby Developer,"Ruby on Rails, SOA, RSpec, Minitest, Git"
113,Systems Engineer (m/f),"MySQL, AWS, Linux, Continuous Integration"
114,Senior Software Developer (Ruby/React) (m/f),"Ruby w/o Rails, Angular, React, AWS, Jenkins"
116,Back-End Engineer (m/w) in einem Technologie Start-Up,"Java, Git, Postgresql, R, Python, Matlab, SAS, Excel, SSH, SCP Protocol "
117,Senior Frontend Developer (m/f),"Git, npm, JavaScript"
118,IT Project Manager (m/f),"Excel, Jira, MS Project"
120,Senior Backend Engineer,"Laravel, Symfony, MySQL, PostgreSQL, MongoDB, PHP, AWS, Azure, Vue, AngularJS Angular, React, Git, Rest"
121,System Administrator / System Operator (M/F) (full-time),"Linux, PHP, Java, AWS EC2, S3, RDS, MongoDB, MYSQL, Nagios, Icinga"
122,Senior QA Automation Engineer (m/f),"Selenium, Java, Groovy, Selenium Grid, BrowserStack, SauceLabs, TestNG, Jenkins"
123,Software Engineer – Frontend,"Javascript, HTML, CSS, Vue, AngularJS, React, Bootstrap, Foundation, LESS, Sass, Laravel, Rails, Django, Git "
124,Senior Ruby Developer (m/f),"Ruby on Rails, Postgres, Redis, Rspec, Capybara, Webpack, Babel, React, Redux, React-router, Sass, Postcss, Jest, Sinon, Cha, AWS"
125,Frontend Engineer (m/f),"AngularJS, Angular, Javascript, Typescript, Graphics Programming / WebGL"
126,Senior Backend Developer,"Ruby, Python, Java, Scala, PostgreSQL, MySQL, Oracle, MongoDB, CouchDB, Cassandra, TDD, BDD, CI/CD"
127,Senior Test Automation Engineer (m/f),"Selenium, Web Driver, JUnit, TestNG, Jira, Git, SVN, Maven, Jenkins, Java, Unix "
128,WeAre – VR Unity C# Developer,"C#, Unity Multiplayer API (UNET), HTC Vive, Git, svn, Scrum, Kanban"
129,Senior Data Engineer,"Python, Javascript, NoSQL, MongoDB, Apache Airflow, AWS, git, Linux, spark, Hadoop"
130,Data Scientist (f/m),"R, Python, Matlab, Scikit-learn, TensorFlow, Torch, CRAN, Spark, Hadoop, SQL, NoSql, AWS"
131,"Senior Front-end Developer (JavaScript, HTML5, CSS3) (f/m)","HTML, JSX, modular CSS (SCSS, PostCss), Javascript, React, Gitflow, GitHub, TravisCI, jest, mocha, chai, sinon, nightwatch.js, webpack, ES6+, next.js, Restful API"
132,Senior Software Engineer – RoR (f/m),"Ruby, Python, AWS"
133,Senior DevOps Engineer,"Nginx or Apache, PostgreSQL, MongoDB, Docker, Swarm, Consul, Jenkins, git"
134,Senior Frontend Developer,"HTML5, Angular, React"
135,Senior Web Developer (Backend),"Python, Django, PostgreSQL, MongoDB, Docker, Swarm, Consul, Jenkins, git"
136,IT Project Manager (m/w),"SCRUM, Jira, Magento"
137,Software Test Specialist – Studio 3T for MongoDB,"ISTQB/CAT certification, cross OS testing"
138,Software Engineer – Java/Big Data,"Java, Eclipse, Hadoop, HDFS, Hive, Spark, Flink, YARN"
139,Blockchain Developer,"git, javascript, Node, React"
140,Senior Agile Coach,"Scrum, Kanban"
141,Unity3d Developer,ZeroMQ (ZMQ)
142,Junior Frontend Developer (React/Redux),"JavaScript ES6, React, HMTL, CSS, Sass/Less, UI/UX, Git, Mocha, Chai, Enzyme, Sketch, Invision, Adobe Creative Cloud, Webpack, Gulp, Grunt, Static Site Generators/Templating Engines"
143,QA Engineer (m/f),"Selenium, SCRUM, KANBAN, Jira "
144,Tech Lead Engineering,"AWS Services, EC2, Memcache, Redis, Load Balancers, Docker Vagrant, Chef, PHP, Laravel, Relational Databases, Elastic Search, NoSQL, Angular 1.4 / 2.0, React"
145,(Senior) Data Engineer C++,"C++, SQL, Hadoop, Hive, Impala, Tensorflow, Spark"
146,Senior Product Manager,
147,Senior Software Engineer (m/w),"Go, Scala, Ruby, MySQL, Redis, Nginx, Kafka, Docker, git, AWS"
148,Backend Developer – FinTech (m/f),"Node.js, Python"
149,Fullstack Developer – FinTech (m/f),"Python, React, Angular"
150,Ruby on Rails Developer – Backend (m/f),"PostgreSQL, Elasticsearch, Redis, Ruby on Rails"
151,Junior Frontend Developer – FinTech (m/f),"Javascript ES6, React, Angular, Redux, Webpack, SASS Design, responsive web design, scrum, kanban"
152,Chief Technology Officer,
153,VP Engineering (m/f),"Javascript ES2015, AngularJS, TypeScript, Redux, React Native"
154,JavaScript Developer – Frontend (f/m),"Javascript ES6/ES2015, CSS3, SASS, LESS, POSTCSS, Bootstrap, Foundation"
155,Fullstack Developer (m/f),"HTML, CSS and JavaScript, JQuery, React.js, Redux, Ruby on Rails, PostgreSQL, Elasticsearch, Redis"
157,DevOps working student,"JavaScript, UI, PowerShell, JavaScript, Puppet, Ansible, Chef, GIT, Jenkins, Maven "
158,iOS Developer,"Objective-C, Swift, Cocoa, iOS SDK"
159,Frontend Developer (m/f),"CSS, Javascript, Sass, jquery, vue.js, RequireJS, HTML, Twig, Angular, Grunt, ES6"
160,Frontend Engineer (React) (m/f),"HTML, (S)CSS, React, Javascript, Angular, Node"
161,"Software Developer, Scala/Android","Scala, Android, git"
163,Junior Software Developer,"C++, git, Python , JS, Metal API, OpenGL, JUCE"
164,Senior Frontend Engineer,"HTML, CSS, JavaScript, Haml, Sass, Vue.js, Redux, BEM, Ruby on Rails, ClojureScript"
165,Software Engineer (m/w),"C++, Jenkins"
166,"Senior PHP-Entwickler (Zend 2/3) für Festanstellung in Berlin, Unternehmensbeteiligung möglich","PHP, Zend2, Zend3, HTML, CSS, LESS/SASS, JavaScript, JQuery"
167,Senior Android Developer,"Kotlin, JVM, Android SDK, A/B Testing "
168,Senior iOS Developer (f/m),"Objective-C, iOS SDK, Swift"
169,Full Stack Developer,"Ruby on Rails, HTML, (S)CSS, Javascript, React, git, SQL, Jasmine"
170,Team Lead – Full Stack,"Spring, Groovy, Spock, Elastic Search, Kibana, Gradle, React, Gulp, Webpack, Node, React, Java"
171,Senior Ruby/Elixir Engineer,"MySQL, PostgreSQL, Ruby, Elixir, Javascript, HTML, CSS, Packer, Terraform "
172,Frontend Developer / Software Engineer,"Javascript ES6, React, HTML, CSS, SCRUM, KANBAN, Carto, D3.js"
173,QA Software Engineer,"PHP, HTML5, JQuery, CSS3, Hudson, Jenkins, TestNG, Selenium, Unit Frameworks, SQL, Java"
174,App Developer / Engineer (Unity) (m/f) – Preschool Education World-Wide,"Unity3D, C#, Java, Python, AWS"
175,Manual Tester (m/f),"JIRA, Confluence"
176,Senior DevOps Engineer (m/w),"JavaScript, NodeJS, Jenkins, AWS, Git, MariaDB, Redis "
177,Web Architect / Developer 3D Application,"HTML, CSS, JavaScript, Typescript, Angular, node.js, Express, PHP, Mysql, REST API design, git, npm, Webpack, AWS, EC2, ECS, S3, RDS, CloudFormation, CloudWatch, Docker, Linux"
178,Cloud Engineer,"Go, Python, Docker, Kubernetes, SQL, NoSQL"
179,Ruby on Rails Full Stack Engineer (m/w) für zinsbaustein.de,"Ruby on Rails, HTML, Javascript, CSS, TDD, CD / CI"
180,iOS Engineer,"Objective-C,  Cocoa Touch, Core Location, Core Motion, HealthKit, git"
181,Senior Backend/DevOps Engineer,"RESTful API, Python, GCP, AWS, Docker, Kubernetes, git"
182,Data Scientist (Full Stack),"Python, Keras, TensorFlow, SciPy, Jupyter, Pandas"
183,Senior Machine Learning Engineer,Python
184,CTO in Residence for the Machine Economy Lighthouse,"bitcoin blockchain, ethereum, smart contracts, IOTA, Polkadot, Cosmos, Parity, IPFS, BigchainDB"
185,Lead Engineer,"Javascript, Node"
186,Manual QA Engineer,"SauceLabs, BrowserStack, VMs, UNIX, JavaScript, Python, Ruby"
187,Frontend Developer (m/f),"Magento, HTML5, CSS, Javascript, PHP, Grunt, Gulp, Webpack, Git, TDD, BDD"
188,Senior Game Developer Unity / C#,"Unity, C++, JAVA, Objective-C, Swift, JavaScript, MVC, Entity Component Systems, StrangeIoC, Zenject"
189,Senior Mobile Games Quality Assurance / Test Engineer,"Selenium, Java, C++, JavaScript, Python"
190,Full Stack Developer,"OOP PHP, MVC pattern, MySQL, REST, JavaScript, CSS3, HTML5, React, Redux, ES6, SASS, Webpack, Bower, XDebug, Symfony2/3, Zend, Jenkins, Jira"
191,Lead Frontend Engineer,"Javascript, HTML5, CSS3, Jenkins, Jira, Webpack, UI"
192,QA Engineer (m/f),Selenium
193,Senior Full Stack Developer (m/f),"Java, React, JavaScript, CSS, Spring Boot, MVC frameworks, Hibernate, IntelliJ IDEA, Eclipse, GIT, SVN"
194,Senior Frontend Developer (m/f),"Javascript, React, HTML5, CSS, SCSS"
195,AngularJS FE Developer (f/m),"AngularJS, Javascript, CSS, REST, JSON, HTML5, UI/UX, Scrum"
196,( Junior ) Developer SAP HANA Development Infrastructure as a Service – HANA Platform Core,"Docker, Git, Gerrit, Java, Groovy, Python, Perl, Ruby"
197,Business Intelligence Manager,"SQL, Excel, SSIS, Tableau"
198,( Junior ) DevOps Engineer SAP HANA Database as a Service – HANA Platform Core ( Berlin ),"Linux, Docker, Git, C, C++, Java, Groovy, Python, Go, Perl, Ruby, Hana"
199,( Senior ) Developer SAP HANA Backup Cloud Services – HANA Platform Core ( Berlin ),"Linux, Docker, Python, Perl, Git, Gerrit, C/C++, Go "
200,( Junior ) Developer SAP HANA Backup Cloud Services – HANA Platform Core ( Berlin ),"Linux, Docker, Python, Perl, Git, Gerrit, C/C++, Go"
201,( Junior ) Developer SAP HANA MDC – HANA Platform Core ( Berlin ),"Linux, Docker, Python, Git, Gerrit, C/C++"
202,(Associate) Developer In-Memory Computing Engine – HANA Platform Core (Berlin),"C++, Linux, Python, Git, Gerrit"
203,( Junior ) Developer SAP HANA Lifecycle Management – HANA Platform Core ( Berlin ),"C/C++, Perl, Python, Git, Gerrit, Docker"
204,Tech Lead,"AWS Services, EC2, Memcache, Redis, Load Balancers, Docker, Vagrant, Chef, Elastic Search, NoSQL, Angular 1.4 / 2.0, React, PHP"
205,(Senior) Developer In-Memory Computing Engine – HANA Platform Core (Berlin),"C++, Linux, Python, Git, Gerrit"
206,Senior Software Quality Engineer (Automation) m/f,"REST, GIT, Gradle/Maven, CI-System, Docker, Java, JUnit, JBehave, Selenium, TestNG, JMeter, LoadRunner"
207,Back End QA Engineer at Lisk,"Node.js, PostgreSQL, Jenkins, Travis, Javascript, Bitcoin, Ethereum"
208,Software developer & data analyst,Python GUI
209,Senior Android Developer (f/m),"Android SDK, ADT, Android Studio, RxJava, Kotlin, RESTful API, Ruby, Git"
210,Devops Engineer,"Ansible, Chef, SaltStack, Puppet, Zabbix, Logstash, Elastic Search, PostgreSQL, MySQL, MongoDB, Apache, Nginx, Jenkins,Travis, Bash, git, Node.js, Docker"
211,Junior Software Engineer Javascript (m/f),"NoSql, Elasticsearch, TDD, AngularJS, React"
212,Software Engineer Javascript (m/f),"NodeJS, Restful APIs, NoSql, Docker, Jenkins, Gulp, Grunt, Elasticsearch, TDD, AngularJS, React"
213,WORKING STUDENT iOS DEVELOPMENT (m/f),"Swift, iOS SDK, Xcode, AppCode, Instruments"
214,"SENIOR FRONTEND DEVELOPER / TECH LEAD (M/F) (REACT.JS, JAVASCRIPT)","HTML5, LESS/SASS, React.js, Javascript, AngularJS, Node.js, REST API, Git, Jenkins, Webstorm, Webpack"
215,Frontend Developer,"HTML5, CSS3, Linux, git, CoffeeScript, Node.js"
216,VP of Engineering,"HTTP2, TCP/IP, CSS, HTML, Browser JS APIs, NPM, Yarn, Babel, Browserify, Webpack, Rollup, React, Angular"
217,QA Tester and Automation Specialist (m/f),"Travis, Jenkins, SQL"
218,Client Developer (m/f),"React native, REST APIs"
219,System Engineer (m/w),"Linux, nginx, apache, tomcat, redis, memcached, Jenkins, Puppet, Chef, MySql, Javascript, PHP"
220,Full Stack Python / JS Engineer,"JavaScript, Node.js, Python, Redshift, Sequelize, SQL, Docker,  Git, JIRA, Teamcity"
221,"Senior Software Engineer, France and Benelux Region Coverage","Java, Kubernetes"
222,Senior iOS Mobile Developer (m/f),"RESTful API’s, HTML5, CSS3, JavaScript, UNIX"
223,Senior Android Developer (m/f),"REST API’s, Java, Unix"
224,Senior Health Data Engineer (m/f),"Scala, Java, Go, HL7, FHIR, IHE, DICOM, IEEE, ISO, CEN, EHR/EMR, RESTful, XML, XSLT, JSON"
225,Frontend Developer (m/f),"HTML5, CSS3, React, Redux, Webpack, Rails, Postgres, Elasticsearch"
226,Frontend Software Engineer – all levels,"JavaScript, React, Git, Unix, REST-APIs, Ruby on Rails, Node.js, Jasmine, Karma"
227,Backend Software Engineer – all levels,"Ruby, Ruby on Rails, ElasticSearch, Redis, Docker"
228,Freelance Software QA Tester,
229,Back-End Developer (m/f),"PHP5+, PHP7, Git, Magento, MySQL, Redis, Nginx/Apache, Javascript, API, REST, SOAP, TDD/BDD, Jenkins, RabbitMQ, Kafka, ElasticSearch, Solr, NoSQL, Magento, Laravel, AWS, Docker"
230,Senior DevOps Engineer (m/f),"PostgreSQL, Spark, MySQL, Aerospike/Redis/Elasticsearch, Linux, AWS"
231,Devops Engineer,"Linux, Python, Ruby, Go, Jenkins, Teamcity, Openstack, Kubernetes, Chef, Puppet"
232,(Lead) Product Management,"Scrum, Kanban, Jira"
233,Junior/Senior PHP Developer,"PostgreSQL, Doctrine, Redis, RabbitMQ, Zend2, Symfony2, Laravel, git, composer, Vagrant, Jenkins, PHPStorm, XDebug, Scrum, Kanban"
234,"Senior Software Developer, Backend Operations","AWS, Cassandra/ElasticSearch, Haskell, Rust, Unix/Linux"
235,Quality Assurance / Software Testing Internship / Working Student / Engineer (M/W),
236,Data Security Engineer (m/f),"Scala, Java, Go, Finatra, Play, ES6, Docker, Kubernetes, Terraform, Ansible, Azure, PostgreSQL, SAP Hana"
237,Javascript Developer (m/f),"ES6, JQuery, AngularJS, Ember.js, D3.js"
238,Senior Backend Developer (m/f),"Scala, Java, Go, Finatra, Play, ES6, Docker, Kubernetes, Terraform, Ansible, Azure, PostgreSQL, SAP Hana"
239,Senior DevOps / Site Reliability Engineer (m/f),"Bash, Python, Ruby, Docker, Kubernetes, Terraform, Ansible, AWS/Azure"
240,Cross-Platform (iOS/Android) Developer (m/f),"Java, Swift, UI, MVP"
241,Front-end Engineer (m/f),"HTML, CSS, JavaScript, React, Angular, Vue.js "
242,QA Engineer (m/f),"TDD, BDD, Selenium, PHP, Python, JavaScript, Magento, AWS, Codeception, Behat, git"
243,Senior Software Developer JavaScript / Java (m/f),"Java, REST, JavaScript, ECMAScript2015, HTML5, CSS3"
244,Senior Software Developer – Language Engineer (m/f),"JavaScript, TypeScript, Flow"
245,Senior Backend Engineer (m/f),"PHP, Go, Python, JavaScript"
246,Scala Software Engineer,"Scala, Linux, Docker, Mesos, Marathon"
247,Software Architect,"C/C++, Java"
248,Fullstack Software Engineer – Ruby,"Ruby/RoR, React.js, TDD, CI, CD, TypeScript, Docker, RabbitMQ"
249,Storage Engineer (m/f),"SAN, NAS, Linux, Windows, MAC, Shell, Python, Powershell"
250,Senior DevOps Engineer (m/f),"Linux, Puppet, Chef, Apache/Nginx, HAProxy, AWS, Azure/GCP, Bash, PHP, Python, Ruby "
251,Big Data Software Engineer (m/f),"Python, AWS, Spark, Machine Learning"
252,QA Engineer (m/f),"HTML, CSS, JavaScript, SQL, Linux, PHP7, Symfony2, AngularJS, jQuery, Behat (PHP), Karma, Jasmine, NodeJS, Selenium"
253,DevOps Engineer (m/f),"Linux, Docker, Kubernetes, Puppet"
254,Javascript Developer (m/f),"JavaScript (ES2015), Meteor, MongoDB"
255,DevOps Engineer (m/f),"Puppet, Chef, Apache/Nginx, HAProxy, AWS, Azure, GCP, Bash, PHP, Python, Ruby"
