,ID,company_name,date,description,jobtitle,source,NewJobTitles,Intern,Junior,Intermediate,Senior,clusters
65,66,Quandoo,2017-10-02,"Quandoo is the fastest-growing real-time reservations platform for restaurants. As a technology-enabled market place, Quandoo is equipping its partner restaurants with an industry-leading reservations management system that digitalizes a restaurant’s inventory and makes it accessible in real-time from web and mobile channels. Restaurateurs can leverage the reach of Quandoo’s reservation platform to boost their customer base, drive utilization in low-traffic times and generate additional business on-demand. Quandoo provides diners the easiest way to explore the restaurant space and reserve a table at their restaurant of choice. With just a few clicks diners select from a wide range of local favorites to Michelin-starred gourmet restaurants. Having chosen a restaurant, diners receive instant confirmations on their reservations and benefit from loyalty points.
Quandoo was founded in 2012, with is headquarters in Berlin, Germany and international footprints in Western Europe, CEE, APAC and the Nordics. With a dynamic, international team of 360 employees globally, our vision is to become the world’s leading marketplace for all dining experiences.
 Android Developer – Berlin (m/w)
We are looking for Android Developers. As a team member you will participate into building and improving a high scale a user-centered app in a complex environment.
Your Responsibilities

Develop our mobile application in a user-centered fashion using agile
Work side by side with the technical, product and design teams to deliver the most delicious application you could ever think of
Be involved in all the relevant new product ideas and, in the creation and implementation of a perfect customer solution in a timely manner
Identification, testing, and fixing of all performance issues
Help us follow all the current and emerging mobile trends and technologies

Your Qualifications

Strong foundation in Java with a solid background in Android development
2+ years of software development experience with a focus on Android applications
Good knowledge of web technologies, including APIs and protocols (e.g. HTTP, REST, JSON)
Strong knowledge of OOP, MVC, MVP, MVVM and Dependency Injection principles
Hands-on experience with testing Android apps
Good problem-solving skills
Proactive “can-do” attitude
Good communication skills, high proficiency in English, German is a bonus

What we offer

No boredom! Quandoo is an everyday challenging working place
A position that offers you tangible impact on the company’s success
You work with a highly motivated and skilled team of engineers from all over the world
Dynamic and friendly working atmosphere in a successful international team
Highly attractive compensation package

If interested, please send your CV and Cover Letter to jobs@quandoo.com",android developer – lin (m w),Berlin Startup Jobs,android developer – berlin ,False,False,False,False,23
66,67,Quandoo,2017-10-02,"Quandoo is the fastest-growing real-time reservations platform for restaurants. As a technology-enabled market place, Quandoo is equipping its partner restaurants with an industry-leading reservations management system that digitalize a restaurant’s inventory and makes it accessible in real-time from web and mobile channels. Restaurateurs can leverage the reach of Quandoo’s reservation platform to boost their customer base, drive utilization in low-traffic times and generate additional business on-demand. Quandoo provides diners the easiest way to explore the restaurant space and reserve a table at their restaurant of choice. With just a few clicks diners select from a wide range of local favorites to Michelin-starred gourmet restaurants. Having chosen a restaurant, diners receive instant confirmations on their reservations and benefit from loyalty points.
Quandoo was founded in 2012, with is headquarters in Berlin, Germany and international footprints in Western Europe, CEE, APAC and the Nordics. With a dynamic, international team of 360 employees globally, our vision is to become the world’s leading marketplace for all dining experiences.
 Web Tracking Specialist – Berlin (m/w)
We’re looking for a tracking specialist to contribute to our international growth with precision and excellence, and become part of the fastest-growing reservation platform in the world.
Your responsibilities :

Drive and organize the technical implementation of the SEO and tracking requirements for web applications product releases
Help QA validate the SEO and tracking implementations
Work closely with the Marketing team on the implementation of the advertising campaign strategies
Implement, track and ensure quality through Google Tag Manager
Track the user through different devices and current tracking technologies beside cookie tracking (fingerprint)
Ensure tracking quality of our A/B testing unit
Creation and management of the events for the web and potentially mobile

Requirements :

Expert in Google Analytics, Google Tag Manager
Good to have mobile tracking experience (localytics etc)
Expert handling different GTM Container and Events and Pixels
Ideally experience in Segment
Ideally experience in the Web application development
Good knowledges in HTML, Javascript, Google Apps script, to create customer variables in GTM
You are advanced with VWO or Optimizely implementation and connecting to GA
You have already worked with Angular or React and implement the tracking

What we offer:
You have the chance to get a job in a rapidly growing international company, which calls you from day one and lets you grow. If you have the desire to participate with enthusiasm and ownership in the further expansion and development of one of Germany’s most successful internet business, then we are the right place for you!
Of course we offer you much more:

No boredom! Quandoo offers challenges and development every day
A position that offers you tangible impact on the company’s success
You work with a highly motivated and skilled team of engineers from all over the world
Dynamic and friendly working atmosphere in a successful international team

Interested?
Apply now at https://b2b.quandoo.com !
You can find more info on the day to day like on our Facebook Career Page: www.facebook.com/QuandooCareer",web tracking specialist – lin (m w),Berlin Startup Jobs,web tracking specialist – berlin ,False,False,False,False,15
67,68,deepstreamHub,2017-10-02,"We are looking for a skilled technical QA engineer who loves to code and can help ensure stability and performance of the deepstream realtime platform. This role is a demanding technical role that requires a holistic understanding of PaaS architectures, integration cases, APIs, server performance characteristics, networking and high speed data processing.
The role

Ensure quality and reliability of the deepstream.io realtime server, deepstreamHub platform and its ecosystem
Lots of exploratory testing around APIs and interacting with realtime data
Testing deployment and configuration of our services on different systems
Design and implement scalable automation testing strategies
Write and run acceptance and integration tests
Create and run performance and benchmarking tests
Develop comprehensive test suites and scenarios to capture usecases across entry points and stakeholders

Skills you’ll need

Programming experience in JavaScript/Node.js
Knowledge of networking concepts and protocols
A sense of adventure to find odd use cases that can cause unexpected behaviour
Understanding of Cucumber/Gherkin and acceptance testing frameworks
Experience with browser automation tools such as Selenium, Nightwatch or headless browsers
Knowledge of unit testing frameworks like Mocha, Chai or JUnit
Experience using CI systems
Fluency in English (spoken & written)

Skills that would be good to have

Knowledge of SQL, database management and scripting
Knowledge of distributed systems and concurrency
An understanding of low level networking
Linux proficiency
AWS experience

Why we should work together

The chance to join a small, friendly and highly experienced team early on
One of Berlin’s most groundbreaking tech projects
Lots of freedom and flexibility
Opportunity to travel, attend meetups, conferences, hackdays and development competitions
The usual tidbits of breakfast, beer, fruit and all sorts of other nibbles
Cuddles with a super fluffy white puppy

Please send us your CV to careers@deepstreamhub.com",technical qa engineer,Berlin Startup Jobs,technical qa engineer,False,False,False,False,10
68,69,market logic,2017-10-02,"Position
The Scrum Master / Agile Master will work inside the Product Management organization to drive the implementation of innovative components and functionalities of our Marketing Information System. Primarily focused on bringing our organization to the next level of Agile maturity, the Scrum Master will constantly evaluate and instil Agile values, coach where needed and bring the overall effectiveness and happiness level in the organization higher.
Reporting & Key Interactions

You will report to our SVP Engineering
You will be the servant leader for about 2 agile teams
You will constantly sync with our Product Owners, Release Train Engineer and of course the other Scrum Masters

Responsibilities & Tasks

You help in the introduction and continuous improvement of agile values and processes and optimize them in the long term
You coach and assist our Product Owners in maintaining a healthy product backlog
You accompany and coach our agile teams with regard to self-organization
You facilitate the Agile meetings and promote open communication within and between related teams
You identify obstacles throughout the product development process and proactively highlight and remove them
You support transparency by maintaining up-to-date agile metrics and communicating them to the team and other stakeholders
You help the team to keep their focus on delivering a high-quality working product matching the definition of done, at the end of every iteration.

Your Profile
Must have:

You have at least 2 years of proven experience as a Scrum Master or Agile Coach
You are able to implement/improve agile processes and best practices and enable cross-group collaboration
You are an excellent communicator with moderation, coaching, educational and mediation skills
Your excellent English language skills complete your profile. (German is not needed)

A big plus:

You are a Certified Scrum Master or Certified Scrum Trainer / Agile Coach
Experience with Large Scale Scrum (LeSS) / Scaled Agile Framework (SAFe)
Experience with other Agile methodologies like XP / Kanban / Pair Programming
Technical / Programming background

Benefits

Proven value proposition with blue chip reference customers like Unilever, Coca-Cola, Mondelez, Allianz, etc.
Dynamic, entrepreneurial business environment where your ideas and experiences are welcome
Work in an entrepreneurial, fast growing and successful business environment
Experienced international management and intercultural environment with flat hierarchies
Join an agile team in implementing complex features with modern technologies
Based in the heart of Berlin
Flexible working hours, German classes, regular team lunches, bike leasing and fresh fruits in the office :)",scrum master,Berlin Startup Jobs,scrum master,False,False,False,False,0
69,70,flyiin,2017-10-02,"YOUR MISSION
– Our sprint teams are organised as multi-disciplinary ‘crews’. Within your crew, you will team up with a UX Designer, a Visual/UI Designer, a Backend Developer and an Agile Coach with the goal to constantly improve the Elm codebase of our user-facing Single Page Application, based on a user-centric and sprint-based approach.
– You will build interactive prototypes and develop features in the different product areas (e.g. search, booking, payment etc.) for both our web-based and mobile-ready products. Because our product is our brand, you will play an essential role in making flyiin the champion brand for online flight search and booking.
– Our organisation will also based on ‘chapters’. These ‘chapters’ will regroup the members of the crews with similar functions and skills and working within the same competency area. As Senior Frontend Developer, you will lead the Frontend Chapter and be responsible for the mentoring the Junior Frontend Developers, the architectural decisions on the front-end stack and finally, the improvements and streamlining of the technical standards.
– You will work closely with the Engineering team based in Budapest, which is responsible for developing the airline distribution system, which our marketplace product is based on. You will be actively involved in the definition of the interfaces and contracts that will be facing our backend systems.
– You are a team player. You will clearly present and communicate your vision, your work and its rationale to the members of your crew, and work closely with them in order to foster the sharing of ideas, learning and technical principles within your crew.
WHAT MAKES YOU THE RIGHT CANDIDATE
If you have…

4+ years experience in general frontend development
Good understanding of functional programming concepts
Production experience in any modern frontend framework
Strong knowledge of web standards and modern browsers (HTML5, CSS)
Solid understanding of the full web technology stack (e.g. HTTP, cookies, asset loading, caching, REST, Websocket)
Proven expertise in responsive development (adaptive or fluid) for complex web applications
Creative coding and prototyping skills and a passion for clean, maintainable code
Passion for building rich user interactions and for delivering smooth transitions and animations
Love for contemporary app concepts, UI/UX design and innovative technical solutions
Good organisational and communication skills
Solid knowledge of English (English is the company’s official language)
The ability to thrive in a fast-paced, dynamic startup environment

If you are excited about…

Travel, and most specifically air travel
Using Elm as your programming language of choice
Open source and emerging technologies
Working with people from different parts of the world and with different professional background and skillset
Contributing to developing a company’s culture and dynamics
Being part of something big that has the potential to transform a whole industry

If as a person, you appreciate… 

Highly collaborative and multidisciplinary teams
Systematic feedback and knowledge sharing
“Bullshit-free”, lean and focused organisations

HOW CAN YOU STAND OUT?
You’ll reach the top of the list if in addition to the above, you:
1- -have already built Elm-based digital products
2- are familiar with Elixir or other backend-related functional programming language
3- have experience to work in a geographically distributed engineering team
4- have already been in a similar role and helped build up a technology company from scratch
5- can demonstrate a high level of self-reliance and a strong sense of initiative
6- are passionate about digital products that are design-focused and user-centric
WHAT WE CAN OFFER AT FLYIIN
1- The opportunity to join a company that will grow fast, and be at the origin of it
2- The chance to work very enthusiastic and experienced people who all share the strong desire to shake things up
3- The option to work remotely from home one day a week
4- Regular “Knowledge sessions” on topics such as online travel, airlines, technology or product
5- Your daily dose of coffee, fresh fruits, snacks… and our weekly beers and wine.
6- And finally, a competitive salary and an attractive office space in the heart of Berlin (Prenzlauer Berg)
… and more as our business and results grow.
ARE YOU INTERESTED?
If this is a kind of adventure you would take part in, and the type of jobs that you’ve always been looking for, send us an email at jobs@flyiin.com, and tell us why you’re the best candidate for this position.
When sending your application, please:
1- Mention the name of the position in the subject line
2- Highlight your salary expectations and availability
3- Provide a copy of your CV and any additional material relevant for your application 
We’re looking forward to hearing from you.",senior frontend elm developer,Berlin Startup Jobs,senior frontend elm developer,False,False,False,True,5
70,71,Parkling,2017-10-02,"Develop with us a new, cool and useful app for Android and iOS in React Native!
Be engaged in the whole development process: Talk with designers, specify the API together with backend programmers, maybe even test the app IRL.
You should have fun in programming, like clean code, value automated testing, and have a general sense on what constitutes a high-quality app.
Experience (must haves):

Experience with React Native
Experience with programming in professional projects

Bonus experience (nice to have):

Experience with maps and GIS
Experience in Java/Android
Experience in Swift",react native developer (m f),Berlin Startup Jobs,react native developer ,False,False,False,False,4
71,72,uberall,2017-10-02,"You are responsible for

Participating in full life-cycle software development of our innovative and unique location marketing cloud solution (SaaS)
Playing a significant role in the backend development of bulk data processing
Developing new features and innovative software modules based on modern technologies as well as enhancing our DevOps workflow
Improving and maintaining the web API our customers use every day to manage business location profiles ranging from 50 to 10’s of thousands listings with focus on quality and scalability
Implementing services that connect to APIs from our partner directories
Building extensible widgets, pushing for the simplest integration of our latest functionality
Contributing ideas for new features and identify areas for improvement proactively
Writing test specifications to make sure that our code is high quality

Your abilities include

At least 5 years of experience in software development, preferably in the area of software-as-a-service (SaaS), cloud solution, CMS, CRM or e-commerce
Proven programming skills with Groovy or Java including effective and clean code mindset
Professional experience with data modeling for distributed databases (e.g. ElasticSearch) as well as for relational databases like MySQL
Knowledge in working with Grails, Spring, Spring-Boot, Hibernate, Apache Tomcat, AWS, RestAPI etc. will be a very big plus
Experience of scalable software architectures and modern software tools as well as desire to “play” with server technologies, databases and web services
Expertise of Agile-Development (Scrum or Kanban)
Creativity and the ambition to strive in a constructive and multicultural team
Fluency in English

We will provide you with

Very exciting position in close collaboration with a highly professional and international team
A continuously evolving Location Marketing Cloud (SaaS) with an exciting customer base (DAX corporations)
High degree of responsibility with creative freedom of design
Germany’s third fastest growing company in 2016 (award of KPMG, Axel Springer & Gründerszene) with global orientation and market leadership in Europe
Top & Open Company Award from Kununu
Free drinks, cereals and fresh fruit
Barbecues and festivities with your colleagues","senior backend engineer groovy grails java (m f) – lin, de",Berlin Startup Jobs,"senior backend engineer groovy grails java  – berlin, de",False,False,False,True,28
72,73,Avenso,2017-10-02,"Our hand-signed, original photographs have been awing crowds in over 40 LUMAS galleries since 2004. Through affordable editions in relatively large runs, we are democratising the art market.
WhiteWall is our own professional lab for custom-made works, and professional photographers praise its quality. Our premium products meet every desire.
For our IT Team in our headquarters in Berlin we are looking for an
IT Project Manager (m/f)
Your responsibilities:

You bridge the gap between business and technology and understand the IT systems and technologies that drive our business
You identify opportunities for business improvement and think big
You prioritize and plan offline and online IT projects and take over communication with all stakeholders
You break down all features into clear requirements and tasks
You support, supervise and monitor the projects
You work closely with the CTO

Your profile:

You have successfully completed a degree in information technology and have a good understanding of business processes
You have 3-5 years of relevant experience in coordinating and managing IT projects
You have worked as a IT Project Manager or in a similar role before, preferably in e-commerce for high-end consumer products
You have an excellent technical understanding (the ability to code is a plus)
Ability to use SQL for analyzing data & testing is a plus as well as experience in working with ERP-systems and SAP
You have strong analytical skills, a very structured approach, and a hands-on mentality
You are fluent in English and German

What we offer:

An innovative and international environment as the continuously expanding market leader for photography and art editions with long-term perspectives
Products that inspire passion in our customers, partners and coworkers
Ongoing professional development
An atmosphere that encourages you to spark change
A flat hierarchy and an open working atmosphere
Interesting insights into the world of photography and art

How to apply
We look forward to receiving your online application with your earliest starting date and your salary expectations.
Any queries? Please contact Rosalina Stuckert via jobs@avenso.com.
Apply now: https://avenso.jobbase.io/job/2c3vsjo8
www.lumas.com | www.whitewall.com",project manager (m f),Berlin Startup Jobs,project manager ,False,False,False,False,14
73,74,Avenso,2017-10-02,"With more than 40 LUMAS galleries around the world, our signed editions by renowned artists have been inspiring a wide audience since 2004. By offering affordable, hand-signed limited editions in slightly higher print runs, we are democratizing the art market nationally and internationally.
Under the name WhiteWall, we operate our own photo lab, which has received numerous awards and recommendations. Hobbyists and professional photographers alike value our custom-made products and their gallery quality. WhiteWall.com provides easy online access to high-end photo processing. In our WhiteWall Stores in Berlin and Dusseldorf, our customers can experience our wide range of services. Our teams there provide individual support in the selection and ordering of our high-quality products.
Our employees are talented, service-oriented, design-loving people who continually aspire to provide the highest level of quality and customer satisfaction.
For our WhiteWall-E-Commerce-Team we are looking for a
Product Owner (m/f)
Your responsibilities:

You bridge the gap between business and technology and understand the technologies that drive our business for our brand WhiteWall
You identify opportunities for business improvement and think big
You prioritize and plan features and take over communication with all stakeholders
You break down all features into clear requirements and tasks
You support, supervise and monitor the development process
You execute the release process and own the product backlog
You attract the best product specialists to your team, inspire and coach your team to greatness

Your profile:

You have 3-5 years of relevant experience in the field of Product Management or Software Development
You have worked in a software-driven company as a Product Owner or similar role before, preferably in E-Commerce for high-end consumer products
You have an excellent technical understanding (must be able to code)
You have experience with the common process models (Scrum, Kanban, Waterfall,…)
You have strong analytical skills and experience with common tools like wireframes, UML modeling, mind maps
You are fluent in English, good German language skills are a plus

What we offer:

An innovative and international environment as the continuously expanding market leader for art editions with long-term perspectives
A product that inspires passion in our customers, partners and coworkers
Ongoing professional development
An atmosphere that encourages you to spark change
A flat hierarchy and an open working atmosphere
Interesting insights into the world of professional art photography

How to apply
Please send us your application (CV, motivation letter and references) with your earliest starting date and your salary expectation.
Any queries? Please contact Rosalina Stuckert via jobs@avenso.com.
We look forward to receiving your application!
Apply now: https://avenso.jobbase.io/job/d5vvdlmj
www.lumas.com | www.whitewall.com",product owner (m f),Berlin Startup Jobs,product owner ,False,False,False,False,26
74,75,Travelcircus,2017-10-02,"ABOUT US
Travelcircus (www.travelcircus.de) is a fast ­growing online booking platform giving people the ability to book premium, quality checked and unique hotels packaged with hotel services and exciting local activities at an exclusive price. Founded in 2014, in the heart of Berlin, Travelcircus already accommodated more than 140.000 travelers from 20 different countries and we continue to grow substantially.
Senior Data Analyst – E-Commerce (m/w)
We are looking for a Senior Data Analyst – E-Commerce (m/w) to join our Travelcircus-Team. Your mission as a Senior Data Analyst will be to transform our vast data into intelligent products and best data-driven decisions. In conjunction with different departments you will develop a deep understanding of our consumer facing businesses and transfer that understanding into analyses and measures for our stakeholders.
YOUR RESPONSIBILITIES

Improve and maintain our web analytics setup in cooperation with our development team
Define, implement and monitor product KPIs used for strategic and operational decisions
Generate insights into customer journeys and user behavior to support our product and marketing teams
Development of an attribution model for all our marketing channels such as SEO, SEA, Affiliate and Email
Integrating data from multiple sources to generate frequent KPI reports for management, investors and inhouse stakeholders
Handling ad-hoc data request from internal stakeholders

YOUR PROFILE:

Strong web analytics background with hands on experience setting up and maintaining the google analytics stack
1-3 years of experience as a Data Analyst or Data Scientist, preferably at an e-commerce/travel brand
Proficiency using Excel, extracting and analysing data using a SQL database and other data sources
Experience with Data integration tools like Pentaho/Talend is a big plus
Proven track record of turning insights into product growth opportunities in prior roles
Ability to present complex analyses and insights effectively in simple terms
Experience with site experimentation (A/B testing) is a plus

WHAT WE OFFER:

A dynamic and international team that is always ready to go the extra mile
Flat hierarchies, short decision paths and the possibility to contribute your own ideas
High level responsibility and opportunities for personal development
A chance to be part of a growing company, directly influencing its success & shaping its future
A modern equipped workplace in a new designer loft with retreat lounges
Regular team events and a wide range of sport activities, a fridge full of beer and non-alcoholic beverages

Can you recognise yourself? If yes, send your application including motivation letter, CV, desired salary and next possible entry date addressed to Margarida Pfaumann via our online application form.
We are looking forward to getting to know you!",senior data analyst – e commerce,Berlin Startup Jobs,senior data analyst – e commerce,False,False,False,True,7
75,76,SAP SE,2017-10-02,"Your tasks include:

Push the frontiers of what is possible in the area of Machine Learning working with real data
Explore, understand, and implement most recent machine learning algorithms and approaches
Comfortably handle very large data sets in scale-up and scale-out cloud environments
Fulfill both functional and non-functional (availability, throughput, latency) requirements
Understand business processes which create and consume data so as to be able to select best approaches, evaluate their performance, and asses business relevance
Create excellence both in terms of results quality and system scalability through continuous evaluation, analysis, and refinement
Communicate the relevance of implemented systems and achieved results in a visual and consistent way

Required skills & qualifications:

Master degree in Machine Learning, Computer Science, Physics or related field
Track record of developing productive machine learning-based solutions and/or systems
Proficiency in working with very large datasets in distributed Linux/Unix environments
Experience with Python and Machine Learning software packages such as scikit-learn or TensorFlow
At least 5 years of relevant experience in deep learning / machine learning / data science development projects with a focus on innovation.",senior data scientist data science expert – deep learning center excellence job,Berlin Startup Jobs,senior data scientist data science expert – deep learning center excellence job,False,False,False,True,33
76,77,GoEuro,2017-10-02,"About GoEuro
Driven by our team of over 200 people from more than 40 different countries, GoEuro is changing the way we travel across Europe. With GoEuro you can compare and book trains, buses and flights to anywhere in Europe with one simple search, on mobile, app or desktop. By offering transparent pricing and easy booking, GoEuro makes travel planning simple, flexible and personal.
With over 500 European transportation partners across 12 countries, GoEuro is one of Europe’s fastest growing travel companies backed by 10 million monthly users and the world’s leading tech investors.
As a Full-Stack Engineer at GoEuro, you will…
…be part of an international, talented and agile Development team that is building a large scale engine that brings millions of users to GoEuro. The main objective of this team is to ensure our users have a great first experience using GoEuro. Therefore your job will not be bound to maintaining the existing system, but to explore even better ways to make our services more attractive.
This will include building a better UX/UI which will be implemented in our modern Javascript Stack (Angular, Redux, React).
This will also entail preparing our backend architecture based on RxJava and NoSQL databases for even more users, as well as discovering new ways of analysing our big-data set of travel connections. This will result in helping our customers find real-time cheap deals.
In an agile context you will share the following tasks with your teammates:

Improve the experience of users arriving at GoEuro.
Improve high-performance and scalable applications.
Measure quality and improve results served to millions of users.
Work with big data.
Cross-functional cooperation between departments.
Project management.

You want to solve interesting problems end-to-end across the stack and are good in Java and/or JavaScript? Great! In addition to that, it would be fantastic, if you also have:

At least three years of working experience with Java and JavaScript (preferably with React, Redux).
Solid computer science basics.
Good spoken and written English (other languages are always a plus at GoEuro, but it’s not required to speak German).
NoSQL skills (ideally Couchbase) are nice to have.
Good understanding of Agile development methodologies are also nice to have.
Most important: You are a great team member, nice to work with, keen to learn and someone who loves to take ownership & is able to get things done.

What can you expect from joining GoEuro?

An office in the centre of Berlin’s thriving startup scene
Flat hierarchies and everyday opportunities to learn, grow and develop
A diverse team of over 40 nationalities
Free lunches, yoga, German lessons and more
Competitive compensation and relocation support

Are you the one we are looking for?
Then please click on the button below to submit your application. We can’t wait to start coding with you!","senior full stack developer (java, react+redux)",Berlin Startup Jobs,senior full stack developer ,False,False,False,True,2
77,78,GoEuro,2017-10-02,"About GoEuro
Driven by our team of over 220 people from more than 45 different countries, GoEuro is a travel platform that allows customers to find and book trains, buses and flights anywhere in Europe. By partnering with over 500 European transport operators, GoEuro is revolutionising the travel experience, providing customers with more choice, transparent pricing and easy booking on mobile, app and desktop.
At our headquarters in the heart of Berlin, we take advantage of our diversity to find new and innovative ways to help our customers, as we build a revolutionary product and, of course, have fun.
As a Senior Full-Stack Engineer for the Payment Team at GoEuro you will…
… Be part of an international, talented and agile team that is building payment system for our users. We are currently accepting all major credit cards as well as PayPal but we are looking for ways to expand and offer more options for our users in the future.
Even though we are very proud of what we have achieved at GoEuro already, there is still a lot of room for improvement and many interesting technical challenges to overcome before going forward. That´s why we are searching for you!
The following tasks are waiting for you:

Design and build scalable, secure and reliable payment system.
Integrate variety of payment options from different payment service providers
Work with a massive amount of payments with multiple partners.
Use kubernetes to deploy and manage your services.

Can you develop production level code in your sleep? Do you care about solid engineering practices and love to share your knowledge within a talented team? Fantastic!
In addition, we would love you to have:

Solid years of experience developing backend applications (Java & Node.js)
Frontend experience (JavaScript, React.js, ES6)
Expertise in SQL, NoSQL is a plus.
Experience in designing and building scalable high-performing and secure applications.
Experience in cloud infrastructure and container technology.
Excellent spoken and written English skills
Most important: You are a great team member, nice to work with, keen to learn and someone who loves to take ownership & is able to get things done.

What can you expect from joining GoEuro?

An office in the centre of Berlin’s thriving startup scene.
Flat hierarchies and everyday opportunities to learn, grow and develop.
A diverse team of over 40 nationalities.
Free lunches, yoga, German lessons and more.
Competitive compensation and relocation support.

Are you the exceptional Full-Stack Engineer we are looking for?
We’re excited to receive your application!","senior full stack engineer, payments",Berlin Startup Jobs,"senior full stack engineer, payments",False,False,False,True,2
78,79,BCG Digital Ventures,2017-10-02,"About BCG Digital Ventures
BCG Digital Ventures is a corporate investment and incubation firm. We invent, build and invest in startups with the world’s most influential companies. We share risk and invest alongside our corporate and startup partners via a range of collaborative options.
Founded in 2014, we have major Innovation and Investment Centers in Manhattan Beach, Berlin, London, Sydney, San Francisco and New York, as well as DV Hatches in Silicon Valley, Seattle and Mexico City, with more locations opening in the coming quarters. Our Centers and Hatches are home to a diverse range of entrepreneurs, operators and investors who are building businesses, creating and expanding markets and developing new technologies that benefit millions of people across the globe.
To learn more, visit www.bcgdv.com.
Introducing our IT Team
Our IT team is responsible for the smooth IT operations of our 140-person Berlin office. They ensure all our employees and partners have the correct technical tools to execute their tasks, while keeping a close eye on infrastructure issues, compliance and the safety of our organization. We are looking for a Junior IT Specialist (m/f) to assist the Helpdesk team. This includes, but is not limited to, user support, computer setup, maintenance and service, audio/visual, telecommunications, assisting with network and infrastructure maintenance, and all other technology needs both in the office and at remote site.
As a Junior IT Specialist (m/f) you will use your skills to

Learning about providing exceptional level 1 and 2 IT Helpdesk support to staff located onsite and offsite
Helpdesk support includes: user support, computer and smartphone setup (Macs and Windows), maintenance & services, telecommunications and assisting with infrastructure maintenance
Assist with technology needs both in the office and at remote sites if required
Support a variety of operating systems and applications
Hardware and software asset tracking and inventory management
Working with and assisting the local and global IT teams on any technical projects/rollouts
Coordinate the repair and maintenance of AV, office printers and computing equipment with outside vendors

As a Junior IT Specialist (m/f) you will need

Degree in IT system administration, computer science or equivalent qualification as well as first relevant professional experiences
Basic skills in the following areas: MAC/PC/laptop hardware, software, telecommunications, mobile devices, networking, and server administration
Ability to identify and diagnose problems and provide solutions and/or escalate to the appropriate expertise area, including local IT helpdesk staff and IT service centers
Reliability and being a cooperative team player; displays tact, patience and the ability to handle stressful situations
Ability to work independently as well as in a team environment
Displaying a self-starting attitude, resourcefulness and professionalism and very structured approach to work
Excellent oral and written English and German and strong communication skills
Lifting/moving equipment is required

What we offer

Exposure to multiple established and emerging technologies
Opportunity to gain relevant experiences in building companies across different industries
Regular office and team events as well as constant exchange in the Berlin startup scene
Individual learning opportunities and a personalized mentoring program
Modern office in the vibrant heart of Berlin
Free German language courses
In-house health and wellness initiatives, i.e. yoga, massage sessions, organic fruits, etc.

Does this match your profile? If so, we look forward to receiving your application in German or English.",junior specialist (m f),Berlin Startup Jobs,junior specialist ,False,True,False,False,18
79,80,GoEuro,2017-10-02,"About GoEuro
Driven by our team of over 200 people from more than 40 different countries, GoEuro is changing the way we travel across Europe. With GoEuro you can compare and book trains, buses and flights to anywhere in Europe with one simple search, on mobile, app or desktop. By offering transparent pricing and easy booking, GoEuro makes travel planning simple, flexible and personal.
With over 500 European transportation partners across 12 countries, GoEuro is one of Europe’s fastest growing travel companies backed by 10 million monthly users and the world’s leading tech investors.
We are now looking for the next great addition to our team as a Senior Frontend Developer.
As a Senior Frontend Developer at GoEuro you will…
…be part of an international, talented and agile Development team that is responsible for building the user interface of GoEuro’s desktop, mobile interface and web apps. You will work with latest technologies and have a great impact on our product. Although, we are extremely proud of what we have achieved at GoEuro already, there is still some space for improvement and lots of interesting technical challenges to overcome going forward.
In an agile context you will share the following tasks with your teammates:

Building new cool features and rewriting old parts of GoEuro frontend with cutting-edge technologies.
Working with product designers and product owners.
Driving the future architecture of GoEuro using WebComponents.
Technologies you will be working with: ES6, React.js, Angular, RxJs.

You are innovative, have solid experience in professional web development and love to work in a strong team? Then please have a look at our further requirements:

Extensive experience with JavaScript and multiple frameworks (Angular, React.js etc.).
Experience with tools like Gulp, SASS/LESS, Browserify.
DevOps mindset and experience with building of big single page applications and great products.
Experience with e-commerce is a plus.
Most important: You should be smart, nice to work with and someone who’s getting things done!

What can you expect from joining GoEuro?

An office in the centre of Berlin’s thriving startup scene
Flat hierarchies and everyday opportunities to learn, grow and develop
A diverse team of over 40 nationalities
Free lunches, yoga, German lessons and more
Competitive compensation and relocation support

Are you the one we are looking for?
We’re excited to receive your application!","senior frontend developer (react.js redux, es6)",Berlin Startup Jobs,senior frontend developer ,False,False,False,True,5
